Product_name,Brand,Rating,No_Rating,key_benefits_list,key_indregents_list
Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,Dr Willmar Schwabe India Pvt Ltd,4.6,1148,eyes,Seneciobicolor (cineraria maritima)
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,0,0,immunity,Thuja
SBL Arnica Montana Herbal Shampoo with TJC,SBL Pvt Ltd,4.4,679,hair,Calcarea phos
Boericke and Tafel Arnica Shampoo,Dr Willmar Schwabe India Pvt Ltd,4.3,229,hair,Arnica
Dr. Reckeweg R78 Eye Care Drop,Dr Reckeweg & Co,4.4,103,eyes,Belladonna
Bjain Omeo Ear Drop,Bjain Pharmaceuticals Pvt Ltd,0,0,ears,Calendula officinalis 0.30ml
Bakson's Vitamin D Plus Capsule,Bakson's Homeopathy,4.4,116,immunity,Vitamin D
Hapdco Rheumacon Pain Relief Oil,HAPDCO,4.3,156,joint,Arnica
Fourrts Gum Forte Gel Homoeopathic Toothpaste,Fourrts India Laboratories Pvt Ltd,4.6,167,ears,Plantago Q
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,0,0,immunity,Thuja
SBL Jaborandi Hair Oil,SBL Pvt Ltd,4.3,243,hair,Jaborandi herb
SBL Cineraria Maritima 10% Eye Drop,SBL Pvt Ltd,4.5,228,improve poor night vision,Aqua Distilled
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,Adel Pekana Germany,4.6,315,heart,Cactus grandiflorus.2X
Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,4.6,213,fat,Guatteria Gaumeri
Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,4.6,213,fat,Guatteria Gaumeri
SBL Sarracenia Purpurea Dilution 1000 CH,SBL Pvt Ltd,4.8,24,eyes,Calcarea phos
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,Dr Reckeweg & Co,4.7,797,ears,Calcarea phos
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,0,0,immunity,Thuja
Dr. Reckeweg R41 Sexual Neurasthenia Drop,Dr Reckeweg & Co,4.1,974,fat,Acidum phosphoricum
Dr. Reckeweg R89 Hair Care Drop,Dr Reckeweg & Co,4.3,1113,hair, Juglans
Bakson's Y-Lax Tablet,Bakson's Homeopathy,4.5,586,body pain,Senna
Bjain Avena Sativa Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.4,52,weakness,Avena Sativa
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,Dr Willmar Schwabe India Pvt Ltd,4.5,276,eyes,Thyroidinum 3X
SBL Stobal Cough Syrup,SBL Pvt Ltd,4.6,1159,cough,Berberis vulgaris
Dr. Reckeweg Berberis Vul Mother Tincture Q,Dr Reckeweg & Co,4.5,621,body pain,Berberis vulgaris
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),Dr Batra Positive Health Products Limited,0,0,immunity,Thuja
Dr. Reckeweg R73 Joint Pain Drop,Dr Reckeweg & Co,4.5,564,joint,Arnica
Bakson's Y-Lax Tablet,Bakson's Homeopathy,4.5,586,body pain,Senna
Dr Willmar Schwabe India Damiaplant Drop,Dr Willmar Schwabe India Pvt Ltd,4,578,depression,Berberis vulgaris
Bjain Omeo Allergy Tablet,Bjain Pharmaceuticals Pvt Ltd,4.1,42,eyes,Ferrum phosphoricum
SBL Arnica Montana Hair Oil with Tjc,SBL Pvt Ltd,4.4,555,hair,Thuja
Bakson's Throat Aid Tablet,Bakson's Homeopathy,4.5,422,cough,Ferrum phosphoricum
SBL Scalptone Tablet,SBL Pvt Ltd,4.3,305,hair,Calcarea phos
Bjain Omeo Mouth Ulcer Tablet,Bjain Pharmaceuticals Pvt Ltd,4.4,48,depression,Verbascum thapsus 0.10ml
SBL Nux Vomica Dilution 30 CH,SBL Pvt Ltd,4.6,1877,eyes,Ferrum phosphoricum
SBL Clearstone Drop,SBL Pvt Ltd,4.5,762,body pain,Berberis vulgaris
Bakson's Aller Aid Tablet,Bakson's Homeopathy,4.5,534,heart,Ferrum phosphoricum
Bjain Lycopodium Clavatum Dilution 200 CH,Bjain Pharmaceuticals Pvt Ltd,4.7,45,body pain,Lycopodium clavatum
Bakson's Aller Aid Tablet,Bakson's Homeopathy,4.5,534,heart,Ferrum phosphoricum
Dr. Reckeweg R13 Hemorrhoidal Drop,Dr Reckeweg & Co,4.4,557,body pain,Acidum nitricum
Bhargava Spondin Drop,Bhargava Phytolab,4.6,902,body pain,Cuprum metallicium 6X
Bjain Baryta Carbonica Dilution 30 CH,Bjain Pharmaceuticals Pvt Ltd,4.8,29,weakness,Baryta Carb
SBL Berberis Vulgaris Mother Tincture Q,SBL Pvt Ltd,4.6,689,body pain,Cuprum metallicium 6X
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,Dr Reckeweg & Co,4.5,437,weakness,Acidum phosphoricum
SBL Kali Phosphoricum Biochemic Tablet 6X,SBL Pvt Ltd,4.6,933,fat,Belladonna
Bjain Phytolacca Berry Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.6,42,fat,Belladonna
Dr Willmar Schwabe Germany Cineraria Maritima Schwabe Eye Drop Alcohol Free,Dr Willmar Schwabe India Pvt Ltd,4.5,74,eyes,Belladonna
SBL Calcarea Fluorica Biochemic Tablet 6X,SBL Pvt Ltd,4.5,949,joint,Belladonna
Bakson's Rheum Aid Tablet,Bakson's Homeopathy,4.6,141,joint,Calcarea phos
Bjain Terminalia Arjuna Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,4.7,91,heart,Calendula officinalis 0.30ml
SBL Arnica Montana Dilution 200 CH,SBL Pvt Ltd,4.6,1677,eyes,Calendula officinalis 0.30ml
SBL Syzygium Jambolanum Mother Tincture Q,SBL Pvt Ltd,4.6,807,fat,Calendula officinalis 0.30ml
